Resource	Repo	EADID
1050	10	us-ppiu-ctc201101
998	10	us-ppiu-ctc201202
1045	10	us-ppiu-ctc201203
1081	10	us-ppiu-ctc201402
1091	10	us-ppiu-ctc201403
1163	10	US-PPiU-ctc201501
1108	10	us-ppiu-ctcinfofilespgh
25	10	us-ppiu-dar192501
113	10	us-ppiu-dar192502
117	10	us-ppiu-dar192506
118	10	us-ppiu-dar192507
124	10	us-ppiu-dar192514
127	10	us-ppiu-dar193703
137	10	us-ppiu-dar193714
161	10	us-ppiu-dar193739
936	10	us-ppiu-dar194602
173	10	us-ppiu-dar194902
176	10	us-ppiu-dar195601
178	10	us-ppiu-dar195701
180	10	us-ppiu-dar196001
181	10	us-ppiu-dar196601
182	10	us-ppiu-dar196801
185	10	us-ppiu-dar198101
187	10	us-ppiu-dar199601
1018	10	us-ppiu-eal201101
1089	10	us-ppiu-eal201601
977	10	us-ppiu-eudc
768	10	us-ppiu-hamm2005
1161	10	us-ppiu-latinamer201301
1095	10	us-ppiu-latinamer201501
1309	10	us-ppiu-mus201901
3	10	us-ppiu-rg90f63
899	10	us-ppiu-sc195201
942	10	us-ppiu-sc195803
941	10	us-ppiu-sc196601
1049	10	us-ppiu-sc196702
908	10	us-ppiu-sc196704
1104	10	us-ppiu-sc197001
1178	10	us-ppiu-sc197605
863	10	us-ppiu-sc197801
1101	10	us-ppiu-sc198002
814	10	us-ppiu-sc198301
1022	10	us-ppiu-sc198601
858	10	us-ppiu-sc198801
1002	10	us-ppiu-sc198802
1054	10	us-ppiu-sc199003
1151	10	us-ppiu-sc199005
937	10	us-ppiu-sc199201
815	10	us-ppiu-sc200002
924	10	us-ppiu-sc200601
681	10	us-ppiu-sc200704
1184	10	us-ppiu-sc201502
1160	10	us-ppiu-sc201701
1193	10	us-ppiu-sc201702
1332	10	us-ppiu-sc201903
1331	10	us-ppiu-sc202001
1343	10	us-ppiu-sc202003
1165	10	us-ppiu-tju20100101
1164	10	us-ppiu-tju20100102
1166	10	us-ppiu-tju20100103
1134	10	us-ppiu-tju20100104
1168	10	us-ppiu-tju20100105
1167	10	us-ppiu-tju20100106
1169	10	us-ppiu-tju20100107
1170	10	us-ppiu-tju20100108
1171	10	us-ppiu-tju20100109
1172	10	us-ppiu-tju20100110
933	10	us-ppiu-ua01051
1268	10	us-ppiu-ua030101
830	10	us-ppiu-ua03a
1106	10	us-ppiu-ua14
1128	10	us-ppiu-ua1526
1035	10	us-ppiu-ua15381
691	10	us-ppiu-ua2101904
682	10	us-ppiu-ua2101921
714	10	us-ppiu-ua2101945
5	10	us-ppiu-ua2101956
806	10	us-ppiu-ua2101966-1967
1001	10	us-ppiu-ua2101967-1991
1328	10	us-ppiu-ua2101991-1995
1158	10	us-ppiu-ua2101995-2014
912	10	us-ppiu-ua341a
917	10	us-ppiu-ua341a2006
854	10	us-ppiu-ua4001
1038	10	us-ppiu-ua4001a
1069	10	us-ppiu-ua4004
993	10	us-ppiu-ua4005
1068	10	us-ppiu-ua4007
1076	10	us-ppiu-ua4009
1004	10	us-ppiu-ua4013
1023	10	us-ppiu-ua4015
1074	10	us-ppiu-ua4017
1020	10	us-ppiu-ua402004
985	10	us-ppiu-ua4024
1150	10	us-ppiu-ua408
662	10	us-ppiu-ua55133
1290	10	us-ppiu-ua551613
951	10	us-ppiu-ua651
1264	10	us-ppiu-ua90040102
1266	10	us-ppiu-ua900402
6	10	us-ppiu-ua900808
1282	10	us-ppiu-ua90081602
876	10	us-ppiu-ua9008221
1278	10	us-ppiu-ua9008291
964	10	us-ppiu-ua900835t1987
1019	10	us-ppiu-ua90181
7	10	us-ppiu-ua902912
1084	10	us-ppiu-ua9036610
1155	10	us-ppiu-ua908161
1007	10	us-ppiu-ua90822t
1048	10	us-ppiu-ua908261
1062	10	us-ppiu-ua90f101
1112	10	us-ppiu-ua90f102
1120	10	us-ppiu-ua90f103
1173	10	us-ppiu-ua90f105
1182	10	us-ppiu-ua90f106
1196	10	us-ppiu-ua90f108
1259	10	us-ppiu-ua90f109
8	10	us-ppiu-ua90f12
9	10	us-ppiu-ua90f14
807	10	us-ppiu-ua90f44
1114	10	us-ppiu-ua90f46
10	10	us-ppiu-ua90f58
11	10	us-ppiu-ua90f59
810	10	us-ppiu-ua90f64
999	10	us-ppiu-ua90f65
12	10	us-ppiu-ua90f67
879	10	us-ppiu-ua90f68
18	10	us-ppiu-ua90f78
1230	10	us-ppiu-ua90f81
13	10	us-ppiu-ua90f82
17	10	us-ppiu-ua90f84
19	10	us-ppiu-ua90f85
20	10	us-ppiu-ua90f86
967	10	us-ppiu-ua90f94
1003	10	us-ppiu-ua90f95
934	10	us-ppiu-ua90f96
1060	10	us-ppiu-ua90f99
953	10	us-ppiu-ua90x
861	10	us-ppiu-ua910f
901	10	us-ppiu-ua911
1185	10	us-ppiu-ua912
865	10	us-ppiu-uaaudio
835	10	us-ppiu-uafilmvideo
968	10	us-ppiu-uainfofiles
969	10	us-ppiu-uapersonalfiles
898	10	us-ppiu-uaphotos
14	10	us-ppiu-uarg51
28	10	us-ppiu-ue10-1
34	10	us-ppiu-ue10-2-6
38	10	us-ppiu-ue11
39	10	us-ppiu-ue12
41	10	us-ppiu-ue14-1
45	10	us-ppiu-ue15-11
57	10	us-ppiu-ue16-107
65	10	us-ppiu-ue16-2
75	10	us-ppiu-ue16-610
913	10	us-ppiu-ue17
92	10	us-ppiu-ue4-1-1
887	10	us-ppiu-ue4-1-10
888	10	us-ppiu-ue4-1-11
889	10	us-ppiu-ue4-1-12
880	10	us-ppiu-ue4-1-2
881	10	us-ppiu-ue4-1-3
882	10	us-ppiu-ue4-1-4
883	10	us-ppiu-ue4-1-5
1032	10	us-ppiu-ue4-1-6
884	10	us-ppiu-ue4-1-7
885	10	us-ppiu-ue4-1-8
886	10	us-ppiu-ue4-1-9
101	10	us-ppiu-ue7-2
102	10	us-ppiu-ue73
104	10	us-ppiu-ue8-1
105	10	us-ppiu-ue82
107	10	us-ppiu-ue9-1
110	10	us-ppiu-ue9-4
676	10	us-ppiup-ais200710
630	10	us-ppiup-ua200806-5
629	10	us-ppiup-ua200906-4
634	10	us-ppiup-ua200906-6
631	10	us-ppiup-ua200906-8
625	10	us-ppiup-ua200906-9
1330	10	uu-ppiu-asp202001
1191	11	us-ppiu-upg.rg.00
1153	11	us-ppiu-upg.rg.02.2
1246	11	us-ppiu-upg.rg.04
1263	11	us-ppiu-upg.rg.21
1267	11	us-ppiu-upg.rg.25
1271	11	us-ppiu-upg.rg.28
1273	11	us-ppiu-upg.rg.35
1279	11	us-ppiu-upg.rg.38
1284	11	us-ppiu-upg.rg.40
1303	11	us-ppiu-upg.rg.52
1321	11	us-ppiu-upg.rg.60
1314	11	us.ppiu.upg.rg.69
1340	12	rg04/2019.001
1339	12	rg04/2019.005
1338	12	rg04/2019.006
1329	12	us-ppicc-mss1965001
1220	12	us-ppicc-mss2008001
1227	12	us-ppicc-mss2009001
1216	12	us-ppicc-mss2013001
1225	12	us-ppicc-mss2017003
1218	12	us-ppicc-rg042018007
1055	15	us-ppiu-ffal001
1087	15	us-ppiu-ffal002
1280	15	us-ppiu-ffal003
1129	16	us.ppiu-upj200901
